"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-07,7121,monthly,176382,2017-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-07,76993,monthly,227919,2017-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-07,8494,monthly,522994,2017-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-07,10112,monthly,145880,2017-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-07,7772,monthly,147317,2017-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-08,7580,monthly,175988,2017-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-08,82670,monthly,229074,2017-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-08,8921,monthly,521450,2017-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-08,10927,monthly,147268,2017-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-08,8051,monthly,148788,2017-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-09,7393,monthly,177002,2017-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-09,78082,monthly,228519,2017-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-09,8239,monthly,517969,2017-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-09,10879,monthly,146802,2017-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-09,7655,monthly,148653,2017-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-10,7433,monthly,177222,2017-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-10,77047,monthly,228484,2017-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-10,7990,monthly,515752,2017-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-10,10428,monthly,146383,2017-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-10,7820,monthly,147677,2017-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-11,7333,monthly,177154,2017-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-11,76788,monthly,227618,2017-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-11,7629,monthly,509894,2017-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-11,10652,monthly,146851,2017-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-11,7833,monthly,147857,2017-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2017-12,7401,monthly,178086,2017-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2017-12,76522,monthly,228837,2017-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2017-12,7883,monthly,510491,2017-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2017-12,10472,monthly,147837,2017-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2017-12,7722,monthly,149125,2017-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-01,5336,monthly,177732,2018-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-01,57138,monthly,227594,2018-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-01,6584,monthly,513622,2018-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-01,7548,monthly,144796,2018-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-01,5528,monthly,146727,2018-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-02,5509,monthly,180294,2018-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-02,58494,monthly,228471,2018-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-02,6386,monthly,511574,2018-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-02,8121,monthly,146586,2018-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-02,5757,monthly,146544,2018-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-03,6451,monthly,177993,2018-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-03,68184,monthly,226996,2018-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-03,7350,monthly,505683,2018-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-03,9632,monthly,144823,2018-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-03,6950,monthly,147271,2018-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-04,5709,monthly,180334,2018-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-04,58939,monthly,228855,2018-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-04,6511,monthly,510925,2018-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-04,8142,monthly,146818,2018-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-04,6050,monthly,148179,2018-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-05,6536,monthly,181826,2018-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-05,67590,monthly,229845,2018-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-05,6980,monthly,512244,2018-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-05,9330,monthly,147799,2018-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-05,6941,monthly,150166,2018-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-06,7605,monthly,182243,2018-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-06,79056,monthly,231277,2018-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-06,8135,monthly,513792,2018-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-06,10916,monthly,149186,2018-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-06,8060,monthly,151054,2018-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-07,6802,monthly,184142,2018-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-07,73910,monthly,234127,2018-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-07,8303,monthly,518923,2018-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-07,9863,monthly,151077,2018-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-07,7468,monthly,152499,2018-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-08,8115,monthly,185470,2018-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-08,84466,monthly,234731,2018-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-08,8975,monthly,513384,2018-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-08,11323,monthly,151772,2018-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-08,8480,monthly,154445,2018-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-09,6519,monthly,186856,2018-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-09,68839,monthly,234380,2018-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-09,7636,monthly,510167,2018-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-09,9316,monthly,151750,2018-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-09,6862,monthly,152649,2018-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-10,7429,monthly,184561,2018-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-10,76864,monthly,233916,2018-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-10,7956,monthly,513927,2018-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-10,10808,monthly,152467,2018-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-10,7832,monthly,152245,2018-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-11,7867,monthly,185825,2018-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-11,81610,monthly,233144,2018-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-11,8130,monthly,507814,2018-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-11,11510,monthly,151860,2018-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-11,8468,monthly,151982,2018-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2018-12,6822,monthly,184588,2018-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2018-12,69841,monthly,232616,2018-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2018-12,6957,monthly,506642,2018-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2018-12,9399,monthly,151471,2018-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2018-12,7433,monthly,152603,2018-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-01,5024,monthly,184148,2019-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-01,54134,monthly,230974,2019-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-01,6031,monthly,503232,2019-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-01,7213,monthly,150205,2019-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-01,5646,monthly,150919,2019-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-02,5498,monthly,183910,2019-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-02,57330,monthly,230772,2019-02-01
